EMP. CODE,GENDER,MARITAL STATUS,DATE OF BIRTH,AGE,EXPERIENCE others,Experience IN ATAEIL,Total Experience,DATE_OF JOINING,GRADE,DEPARTMENT,DVISION,JOINING CTC,CURRENT CTC, WORKING STATUS,Satisfaction Level,Employer Appreciation,Job Involvement,Distance From Home,Number of Companies Worked,Percent Salary Hike,Training Times Last Year (In Hrs),Year Since Last Promotion,Average monthly hours
467,1,2,22826,55,0,1.56,1.56,42401,5,2,4,458334,458334,2,2.5,3.1,3.3,12,0,6,4,0,200
468,1,1,32351,29,1.5,1.56,3.06,42401,1,1,4,13382,13382,1,3,4.6,4.333333333,3,0,0,0,0,195.1875
469,1,1,32748,28,5,1.61,6.61,42382,2,27,5,18000,18000,2,2.5,3.1,3.3,0,0,6,4,0,200
470,1,2,27420,43,8,1.52,9.52,42416,2,8,1,34353,34353,1,3,2.8,4,7,1,0,14,0,193.5
471,1,1,33017,27,0,1.53,1.53,42412,1,20,1,18526.20889,18526.20889,1,1.8,1.5,2.2,3,0,28,12,0,213.1875
472,1,2,24643,50,30,1.48,31.48,42430,5,24,1,133141,133141,1,1.8,1.5,2.2,5,6,0,10,0,224.4375
473,1,2,21702,58,27,1.48,28.48,42430,4,24,1,104168,104168,2,2.5,3.1,3.3,12,0,6,4,0,200
474,2,2,29800,36,9,1.44,10.44,42443,2,12,4,19740,19740,2,2.5,3.1,3.3,12,0,6,4,0,200
475,1,2,29149,38,15,1.42,16.42,42450,3,9,4,37000,37000,2,2.5,3.1,3.3,12,0,6,4,0,200
476,1,2,23410,54,27,1.4,28.4,42457,5,10,4,1375000,1375000,2,2.5,3.1,3.3,12,0,6,4,0,200
477,1,1,32211,29,3,1.36,4.36,42471,2,8,4,33333,33333,2,2.5,3.1,3.3,12,0,6,4,0,200
478,1,2,31882,30,5.5,1.35,6.85,42478,3,23,1,54167,54167,2,2.5,3.1,3.3,12,0,6,4,0,200
479,1,1,33071,27,3,1.25,4.25,42513,2,8,1,33333,33333,2,2.5,3.1,3.3,12,0,6,4,0,200
480,1,1,33363,26,3.3,1.25,4.55,42513,2,8,1,29167,29167,2,2.5,3.1,3.3,12,0,6,4,0,200
481,1,2,30427,34,8,1.22,9.22,42522,3,20,1,64167,64167,1,3.2,4,4.333333333,35,3,0,14,0,218.25
